system,num_stories,design_s,design_ns,model,intervention,loss_ratio,repair_cost,re_occupancy_time,functional_recovery_time,functional_recovery_time_repairable,prob_unrepairable,prob_downtime
SMF,8,RC IV,nsfr,SMF-8-RC IV-nsfr,1,3.481127733e-4,29512.65281,0.6462435422,1.520216097,1.519900055,6.88e-5,0.00693
SMF,12,baseline,baseline,SMF-12-baseline-baseline,0,5.581977341e-4,65636.79695999999,1.144608881,1.753518377,1.654396275,4.01e-4,0.008109
SMF,12,baseline,nsfr,SMF-12-baseline-nsfr,1,5.292188701e-4,63729.065559999995,0.8164739448,1.283739333,1.174257244,4.06e-4,0.006207
SMF,12,RC IV,baseline,SMF-12-RC IV-baseline,1,2.344857256e-4,28988.53231,0.6492300974,1.629864582,1.604555968,1.02e-4,0.006594
SMF,12,RC IV,nsfr,SMF-12-RC IV-nsfr,1,1.833691992e-4,23188.502190000003,0.3987869917,1.114421539,1.086930527,1.02e-4,0.004532
SMF,20,baseline,baseline,SMF-20-baseline-baseline,0,2.188171376e-4,44657.73315999999,1.041132683,1.868691701,1.857046854,4e-5,0.008073
SMF,20,baseline,nsfr,SMF-20-baseline-nsfr,1,1.713369616e-4,35776.87094,0.6520062716,1.328312786,1.316863401,3.76e-5,0.006028
SMF,20,RC IV,baseline,SMF-20-RC IV-baseline,1,1.019964025e-4,22093.95072,0.4944148167,1.39530627,1.394810765,1.41e-6,0.005635
SMF,20,RC IV,nsfr,SMF-20-RC IV-nsfr,1,6.744241102e-5,14927.366039999999,0.3115481051,1.035704485,1.0341894,3.03e-6,0.00401
BRBF,4,baseline,baseline,BRBF-4-baseline-baseline,0,8.120760895e-4,31582.451190000003,0.8372621147,2.769853037,2.719980096,4.42e-4,0.014209
BRBF,4,baseline,nsfr,BRBF-4-baseline-nsfr,1,5.962907724e-4,23755.03179,0.5959109929,1.8606471,1.789592605,4.56e-4,0.012166
BRBF,4,backup-frame,baseline,BRBF-4-backup-frame-baseline,1,6.074136779e-4,24076.055949999998,0.8246487022,2.748832942,2.72698624,1.93e-4,0.01219
BRBF,4,backup-frame,nsfr,BRBF-4-backup-frame-nsfr,1,3.617172645e-4,14679.571740000001,0.567472384,1.825733415,1.799577997,1.88e-4,0.008936
BRBF,12,baseline,baseline,BRBF-12-baseline-baseline,0,4.302440006e-4,49092.991689999995,0.866395609,2.916506668,2.858837414,2.46e-4,0.014975
BRBF,12,baseline,nsfr,BRBF-12-baseline-nsfr,1,3.64412848e-4,42614.43845,0.5906714589,2.01159705,1.941148162,2.67e-4,0.012885
BRBF,12,backup-frame,baseline,BRBF-12-backup-frame-baseline,1,2.745418906e-4,32404.728430000003,0.7910602301,2.930802041,2.915542784,6.97e-5,0.012328
BRBF,12,backup-frame,nsfr,BRBF-12-backup-frame-nsfr,1,1.859985148e-4,22480.896490000003,0.4973943766,2.015777164,1.9971358320000001,7.78e-5,0.009055
BRBF,18,baseline,baseline,BRBF-18-baseline-baseline,0,2.235462379e-4,38797.567319999995,0.7026042665,2.736380076,2.736380076,4.32e-5,0.012851
BRBF,18,baseline,nsfr,BRBF-18-baseline-nsfr,1,1.281638587e-4,22788.55939,0.4391317143,2.00300968,2.002648477,4.12e-5,0.011068
BRBF,18,backup-frame,baseline,BRBF-18-backup-frame-baseline,1,1.857487786e-4,33449.26854,0.6648641041,2.71755902,2.71755902,8.08e-7,0.011046
BRBF,18,backup-frame,nsfr,BRBF-18-backup-frame-nsfr,1,8.978413284e-5,16549.729639999998,0.4073057422,1.979645402,1.979497895,1.41e-6,0.008463
